Customer_ID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Website_Visits,Discount_Used,Membership,Total_Spending
67,48,,77000,69.0,14,18.0,yes,Silver,14998.09
68,54,FEMALE,96000,43.0,10,25.0,yes,Basic,13702.29
69,39, M,53000,72.0,20,18.0,,Basic,18090.35
70,53,,115000,41.0,8,,NO,basic,9266.38
71,37, M,102000,55.0,19,24.0,NO,GOLD,18425.02
72,twenty five,Male,76000,98.0,9,20.0,yes,Silver,11441.08
73,29, M,42000,22.0,7,,yes,,8363.86
74,30,Male,55000,16.0,8,24.0,No,Gold,10504.24
75,53, M,55000,16.0,5,-2.0,Yes,Basic,4417.41
76,34,Male,79000,82.0,4,5.0,NO,basic,6149.85
77,37, M,28000,58.0,8,8.0,,basic,7370.7
78,46, M,74000,36.0,10,28.0,yes,GOLD,11394.55
79,58,Female,45000,98.0,9,6.0,No,Silver,8269.78
80,56,female,78000,39.0,10,3.0,No,Gold,9068.52
81,34, M,118000,28.0,,13.0,NO,Basic,11529.54
82,22,,25000,98.0,6,20.0,,,7341.1
83,37,FEMALE,107000,51.0,13,18.0,,GOLD,14205.62
84,56,,50000,96.0,1,6.0,No,,19926.2
85,35,female,91000,65.0,2,12.0,NO,GOLD,5786.35
86,58,FEMALE,45000,52.0,16,6.0,NO,Gold,12294.94
87,44,Male,106000,61.0,16,19.0,NO,GOLD,16281.58
88,50,Female,-5000,66.0,1,30.0,NO,Basic,4119.25
89,21,female,44000,40.0,9,9.0,yes,basic,
90,150,Male,38000,25.0,10,1.0,,basic,7289.28
91,59,male,37000,68.0,16,19.0,,,13772.18
92,53,female,36000,63.0,13,13.0,,GOLD,12180.38
93,39,female,118000,72.0,17,18.0,Yes,Gold,16856.53
94,27, M,75000,34.0,18,,yes,Gold,16155.89
95,twenty five,Male,48000,58.0,19,25.0,No,basic,16593.62
11,34,male,113000,21.0,19,28.0,,basic,18991.37
97,24,,85000,43.0,15,1.0,No,basic,13216.48
98,39,,97000,72.0,13,6.0,yes,,12645.69
99,52,female,22000,65.0,20,5.0,No,,15380.23
31,31,Female,82000,100.0,9,9.0,yes,Basic,9486.87
